,index,query,query.1,python_ts,js_ts,java_ts,hand_ts
0,0,q1,q1 hyper,51.385,60.535,61.145,56.488
1,1,q3,q3 hyper,74.6,80.73,80.97,70.609
2,2,q6,q6 hyper,21.13,28.81,22.735,16.53
3,3,q18,q18 hyper,183.26,184.39,186.705,154.97
4,4,ssb11,q1.1 hyper,51.355,55.28,53.29,53.68899999999999
5,5,ssb21,q2.1 hyper,102.3,113.805,108.075,91.76
6,6,ssb31,q3.1 hyper,90.72,91.605,93.855,74.509
7,7,ssb41,q4.1 hyper,137.17,142.52,138.37,86.447
8,0,wordcount,wordcount,283.68,255.58,303.98,1612.5
9,1,twogram,twogram,305.52,247.8,363.46,1690.8
10,2,delay,delay,52.75,53.16,44.19,199.8
11,3,etl,etl,108.31,115.15,169.18,187.6
